role,arm,game,seed,agent_steps,mean_return,episode_sd,episodes,hns,random_reference,human_reference
comparator,full,boxing,0,100000,74.58,11.31386920393003,100,6.206666666666667,0.1,12.1
comparator,full,up_n_down,0,100000,22944.9,18450.832643607828,100,2.0082349146042042,533.4,11693.2
comparator,full,frostbite,0,100000,2779.5,366.57677961586074,100,0.6357418901510716,65.2,4334.7
comparator,full,road_runner,0,100000,15017.0,1061.260447474482,100,1.9155549881917406,11.5,7845.0
ablation,reset_mask,boxing,0,100000,72.62,9.142839556260142,100,6.043333333333334,0.1,12.1
ablation,reset_mask,up_n_down,0,100000,7575.3,5035.059598616104,100,0.6310059320059499,533.4,11693.2
ablation,reset_mask,frostbite,0,100000,382.7,353.09556036216986,100,0.07436467970488347,65.2,4334.7
ablation,reset_mask,road_runner,0,100000,16006.0,811.7595304975084,100,2.0418076211144442,11.5,7845.0
