role,arm,game,seed,agent_steps,mean_return,episode_sd,episodes,hns,random_reference,human_reference
comparator,flat,boxing,0,100000,73.13,9.39122199210787,100,6.085833333333333,0.1,12.1
comparator,flat,up_n_down,0,100000,4035.8,1233.314643593033,100,0.3138407498342264,533.4,11693.2
comparator,flat,frostbite,0,100000,2532.1,800.3576157764185,100,0.5777959948471718,65.2,4334.7
comparator,flat,road_runner,0,100000,15831.0,1781.4813379813322,100,2.019467670900619,11.5,7845.0
ablation,raw_readout_flat,boxing,0,100000,82.68,11.011362359404082,100,6.881666666666668,0.1,12.1
ablation,raw_readout_flat,up_n_down,0,100000,4208.4,1246.0342910792842,100,0.3293069768275416,533.4,11693.2
ablation,raw_readout_flat,frostbite,0,100000,257.9,19.811995142215018,100,0.045134090642932424,65.2,4334.7
ablation,raw_readout_flat,road_runner,0,100000,14029.0,1519.455976541099,100,1.7894300121274016,11.5,7845.0
