method,game,bin,mean,std,seeds,sem,agent_steps
DreamerV3,alien,0.0,227.26190476190476,64.53446142967447,5,28.860688529618074,2500.0
DreamerV3,alien,1.0,198.82142857142858,35.554239607698456,5,15.90033933022584,7500.0
DreamerV3,alien,2.0,207.61111111111114,25.926765032717213,5,11.59480180996405,12500.0
DreamerV3,alien,3.0,307.33333333333337,86.98677750024163,5,38.9016695268379,17500.0
DreamerV3,alien,4.0,315.35555555555555,53.11795850211206,5,23.755073207347092,22500.0
DreamerV3,alien,5.0,436.2714285714286,74.94944554668236,5,33.51841102366013,27500.0
DreamerV3,alien,6.0,438.15,120.09665378352555,5,53.70885634604409,32500.0
DreamerV3,alien,7.0,483.5277777777777,84.80207985016393,5,37.92464303566634,37500.0
DreamerV3,alien,8.0,556.2142857142857,150.34300705522745,5,67.23543674344381,42500.0
DreamerV3,alien,9.0,496.7222222222223,59.492581755632536,5,26.605891392511626,47500.0
DreamerV3,alien,10.0,576.5357142857143,86.30152261763665,5,38.595214226954226,52500.0
DreamerV3,alien,11.0,548.1731601731601,68.12330616509128,5,30.46566868743492,57500.0
DreamerV3,alien,12.0,603.7460317460317,67.98846477828083,5,30.405365786017217,62500.0
DreamerV3,alien,13.0,691.1428571428571,206.33685555223454,5,92.27664705567027,67500.0
DreamerV3,alien,14.0,628.3571428571429,95.699001903988,5,42.79789472723979,72500.0
DreamerV3,alien,15.0,739.5285714285714,249.6212212165317,5,111.63400385333551,77500.0
DreamerV3,alien,16.0,784.0952380952381,340.71347043262074,5,152.37169614744093,82500.0
DreamerV3,alien,17.0,796.3690476190476,225.30302880842376,5,100.7585775904458,87500.0
DreamerV3,alien,18.0,680.9166666666667,128.82697267610106,5,57.61317364785399,92500.0
DreamerV3,alien,19.0,819.5952380952382,130.19629127989222,5,58.22555154404042,97500.0
DreamerV3,amidar,0.0,2.925,1.245617316835311,5,0.5570569988789297,2500.0
DreamerV3,amidar,1.0,2.3916666666666666,1.1960744691709078,5,0.5349007638436253,7500.0
DreamerV3,amidar,2.0,18.58888888888889,13.504052461034442,5,6.039195854919268,12500.0
DreamerV3,amidar,3.0,34.871428571428574,9.413732912449703,5,4.209949342852922,17500.0
DreamerV3,amidar,4.0,36.720555555555556,8.933404936832995,5,3.995140141858158,22500.0
DreamerV3,amidar,5.0,46.878571428571426,16.39557244863281,5,7.332322905033127,27500.0
DreamerV3,amidar,6.0,50.44285714285714,9.306624807421993,5,4.1620491420962935,32500.0
DreamerV3,amidar,7.0,68.74047619047619,47.305706129099946,5,21.155754925659185,37500.0
DreamerV3,amidar,8.0,65.04698412698413,27.178238950704245,5,12.154477960501449,42500.0
DreamerV3,amidar,9.0,71.92857142857142,27.961146854490202,5,12.504605019098902,47500.0
DreamerV3,amidar,10.0,77.44269841269842,31.925823529458725,5,14.277662329906393,52500.0
DreamerV3,amidar,11.0,80.52261904761905,15.189037241519399,5,6.792743956962653,57500.0
DreamerV3,amidar,12.0,94.81666666666666,29.39837427005483,5,13.147352659164671,62500.0
DreamerV3,amidar,13.0,87.38888888888889,29.04640469315243,5,12.98994707917155,67500.0
