method,game,seed,agent_steps,return
CoRe-WM old,alien,1,79646,290.0
CoRe-WM old,alien,1,80157,350.0
CoRe-WM old,alien,1,80639,400.0
CoRe-WM old,alien,1,81104,360.0
CoRe-WM old,alien,1,81535,360.0
CoRe-WM old,alien,1,82182,410.0
CoRe-WM old,alien,1,82611,360.0
CoRe-WM old,alien,1,83193,400.0
CoRe-WM old,alien,1,83534,290.0
CoRe-WM old,alien,1,84049,430.0
CoRe-WM old,alien,1,84854,410.0
CoRe-WM old,alien,1,85403,490.0
CoRe-WM old,alien,1,86043,450.0
CoRe-WM old,alien,1,86705,450.0
CoRe-WM old,alien,1,87113,320.0
CoRe-WM old,alien,1,87539,410.0
CoRe-WM old,alien,1,88068,410.0
CoRe-WM old,alien,1,88567,600.0
CoRe-WM old,alien,1,88975,370.0
CoRe-WM old,alien,1,89765,550.0
CoRe-WM old,alien,1,90239,450.0
CoRe-WM old,alien,1,90687,540.0
CoRe-WM old,alien,1,91000,360.0
CoRe-WM old,alien,1,91393,430.0
CoRe-WM old,alien,1,91858,370.0
CoRe-WM old,alien,1,92546,630.0
CoRe-WM old,alien,1,92995,370.0
CoRe-WM old,alien,1,93373,320.0
CoRe-WM old,alien,1,94102,410.0
CoRe-WM old,alien,1,94501,400.0
CoRe-WM old,alien,1,95091,470.0
CoRe-WM old,alien,1,95739,370.0
CoRe-WM old,alien,1,96144,440.0
CoRe-WM old,alien,1,96562,400.0
CoRe-WM old,alien,1,96948,420.0
CoRe-WM old,alien,1,97675,1150.0
CoRe-WM old,alien,1,98072,350.0
CoRe-WM old,alien,1,98561,460.0
CoRe-WM old,alien,1,99140,880.0
CoRe-WM old,alien,1,99551,530.0
CoRe-WM old,alien,2,671,260.0
CoRe-WM old,alien,2,1290,90.0
CoRe-WM old,alien,2,2097,780.0
CoRe-WM old,alien,2,2925,240.0
CoRe-WM old,alien,2,3726,310.0
CoRe-WM old,alien,2,4370,140.0
CoRe-WM old,alien,2,4914,110.0
CoRe-WM old,alien,2,5451,110.0
CoRe-WM old,alien,2,6142,270.0
CoRe-WM old,alien,2,6778,130.0
CoRe-WM old,alien,2,7224,140.0
CoRe-WM old,alien,2,7833,120.0
CoRe-WM old,alien,2,8429,210.0
CoRe-WM old,alien,2,9336,210.0
CoRe-WM old,alien,2,9856,130.0
CoRe-WM old,alien,2,10455,180.0
CoRe-WM old,alien,2,11044,150.0
CoRe-WM old,alien,2,11523,280.0
CoRe-WM old,alien,2,12456,160.0
CoRe-WM old,alien,2,13275,360.0
CoRe-WM old,alien,2,13785,280.0
CoRe-WM old,alien,2,14363,230.0
CoRe-WM old,alien,2,15116,300.0
CoRe-WM old,alien,2,15776,160.0
CoRe-WM old,alien,2,16328,250.0
CoRe-WM old,alien,2,17040,140.0
CoRe-WM old,alien,2,17838,330.0
CoRe-WM old,alien,2,18650,370.0
CoRe-WM old,alien,2,19035,210.0
CoRe-WM old,alien,2,19376,230.0
CoRe-WM old,alien,2,19988,240.0
CoRe-WM old,alien,2,20377,200.0
CoRe-WM old,alien,2,20968,260.0
CoRe-WM old,alien,2,21380,280.0
CoRe-WM old,alien,2,21989,260.0
CoRe-WM old,alien,2,22333,260.0
CoRe-WM old,alien,2,22744,180.0
CoRe-WM old,alien,2,23057,140.0
CoRe-WM old,alien,2,23928,380.0
CoRe-WM old,alien,2,24335,50.0
CoRe-WM old,alien,2,24698,70.0
CoRe-WM old,alien,2,25157,220.0
CoRe-WM old,alien,2,25504,90.0
CoRe-WM old,alien,2,26083,220.0
CoRe-WM old,alien,2,26525,170.0
CoRe-WM old,alien,2,26856,170.0
CoRe-WM old,alien,2,27441,190.0
CoRe-WM old,alien,2,28195,340.0
CoRe-WM old,alien,2,28758,170.0
CoRe-WM old,alien,2,29144,290.0
CoRe-WM old,alien,2,29650,250.0
CoRe-WM old,alien,2,30196,290.0
CoRe-WM old,alien,2,30754,350.0
CoRe-WM old,alien,2,31085,120.0
CoRe-WM old,alien,2,31558,430.0
CoRe-WM old,alien,2,32201,330.0
CoRe-WM old,alien,2,32894,480.0
CoRe-WM old,alien,2,33457,190.0
CoRe-WM old,alien,2,34186,420.0
CoRe-WM old,alien,2,34747,190.0
CoRe-WM old,alien,2,35116,280.0
CoRe-WM old,alien,2,35916,430.0
CoRe-WM old,alien,2,36779,550.0
CoRe-WM old,alien,2,37632,1020.0
CoRe-WM old,alien,2,38461,1040.0
CoRe-WM old,alien,2,38937,290.0
CoRe-WM old,alien,2,39569,280.0
CoRe-WM old,alien,2,39990,340.0
CoRe-WM old,alien,2,40482,380.0
CoRe-WM old,alien,2,41112,460.0
CoRe-WM old,alien,2,41693,350.0
CoRe-WM old,alien,2,42209,350.0
CoRe-WM old,alien,2,42713,350.0
CoRe-WM old,alien,2,43110,270.0
CoRe-WM old,alien,2,43658,280.0
CoRe-WM old,alien,2,44074,250.0
CoRe-WM old,alien,2,44853,460.0
CoRe-WM old,alien,2,45265,300.0
CoRe-WM old,alien,2,45692,250.0
CoRe-WM old,alien,2,46801,310.0
CoRe-WM old,alien,2,47357,460.0
CoRe-WM old,alien,2,47749,300.0
CoRe-WM old,alien,2,48250,330.0
CoRe-WM old,alien,2,48788,440.0
CoRe-WM old,alien,2,49265,370.0
CoRe-WM old,alien,2,49586,360.0
CoRe-WM old,alien,2,50125,400.0
CoRe-WM old,alien,2,50791,410.0
CoRe-WM old,alien,2,51250,440.0
CoRe-WM old,alien,2,52247,450.0
CoRe-WM old,alien,2,52700,420.0
CoRe-WM old,alien,2,53082,430.0
CoRe-WM old,alien,2,53433,350.0
CoRe-WM old,alien,2,53958,350.0
CoRe-WM old,alien,2,54627,200.0
CoRe-WM old,alien,2,55161,480.0
CoRe-WM old,alien,2,55712,360.0
CoRe-WM old,alien,2,56365,1000.0
CoRe-WM old,alien,2,56936,390.0
CoRe-WM old,alien,2,57522,340.0
CoRe-WM old,alien,2,58330,980.0
CoRe-WM old,alien,2,59046,360.0
CoRe-WM old,alien,2,59659,430.0
CoRe-WM old,alien,2,60335,400.0
CoRe-WM old,alien,2,60808,330.0
CoRe-WM old,alien,2,61370,450.0
CoRe-WM old,alien,2,61932,280.0
CoRe-WM old,alien,2,62639,400.0
CoRe-WM old,alien,2,63041,310.0
CoRe-WM old,alien,2,63820,470.0
CoRe-WM old,alien,2,64442,410.0
CoRe-WM old,alien,2,65190,1050.0
CoRe-WM old,alien,2,65906,540.0
CoRe-WM old,alien,2,66658,350.0
CoRe-WM old,alien,2,67162,280.0
CoRe-WM old,alien,2,67711,370.0
CoRe-WM old,alien,2,68309,480.0
CoRe-WM old,alien,2,68656,340.0
CoRe-WM old,alien,2,69151,420.0
CoRe-WM old,alien,2,69698,350.0
CoRe-WM old,alien,2,70410,530.0
CoRe-WM old,alien,2,70837,310.0
CoRe-WM old,alien,2,71426,330.0
CoRe-WM old,alien,2,71961,410.0
CoRe-WM old,alien,2,72525,490.0
CoRe-WM old,alien,2,72948,380.0
CoRe-WM old,alien,2,73304,370.0
CoRe-WM old,alien,2,73664,240.0
CoRe-WM old,alien,2,74124,350.0
CoRe-WM old,alien,2,74542,250.0
CoRe-WM old,alien,2,74881,270.0
CoRe-WM old,alien,2,75380,400.0
CoRe-WM old,alien,2,75866,440.0
CoRe-WM old,alien,2,76382,480.0
