method,game,seed,bin,return
CoRe-WM old,amidar,1,5,38.0
CoRe-WM old,amidar,1,6,47.625
CoRe-WM old,amidar,1,7,67.33333333333333
CoRe-WM old,amidar,1,8,54.714285714285715
CoRe-WM old,amidar,1,9,78.28571428571429
CoRe-WM old,amidar,1,10,77.14285714285714
CoRe-WM old,amidar,1,11,75.85714285714286
CoRe-WM old,amidar,1,12,94.0
CoRe-WM old,amidar,1,13,91.14285714285714
CoRe-WM old,amidar,1,14,103.83333333333333
CoRe-WM old,amidar,1,15,104.4
CoRe-WM old,amidar,1,16,111.28571428571429
CoRe-WM old,amidar,1,17,118.0
CoRe-WM old,amidar,1,18,134.83333333333334
CoRe-WM old,amidar,1,19,149.2
CoRe-WM old,amidar,2,0,3.25
CoRe-WM old,amidar,2,1,2.2222222222222223
CoRe-WM old,amidar,2,2,2.7777777777777777
CoRe-WM old,amidar,2,3,34.0
CoRe-WM old,amidar,2,4,37.625
CoRe-WM old,amidar,2,5,63.5
CoRe-WM old,amidar,2,6,70.33333333333333
CoRe-WM old,amidar,2,7,61.0
CoRe-WM old,amidar,2,8,95.16666666666667
CoRe-WM old,amidar,2,9,66.125
CoRe-WM old,amidar,2,10,62.142857142857146
CoRe-WM old,amidar,2,11,66.375
CoRe-WM old,amidar,2,12,77.25
CoRe-WM old,amidar,2,13,62.125
CoRe-WM old,amidar,2,14,72.5
CoRe-WM old,amidar,2,15,78.0
CoRe-WM old,amidar,2,16,85.42857142857143
CoRe-WM old,amidar,2,17,76.375
CoRe-WM old,amidar,2,18,81.875
CoRe-WM old,amidar,2,19,79.85714285714286
CoRe-WM old,amidar,3,0,1.375
CoRe-WM old,amidar,3,1,6.222222222222222
CoRe-WM old,amidar,3,2,35.285714285714285
CoRe-WM old,amidar,3,3,14.153846153846153
CoRe-WM old,amidar,3,4,30.4
CoRe-WM old,amidar,3,5,53.714285714285715
CoRe-WM old,amidar,3,6,71.85714285714286
CoRe-WM old,amidar,3,7,68.28571428571429
CoRe-WM old,amidar,3,8,72.57142857142857
CoRe-WM old,amidar,3,9,63.0
CoRe-WM old,amidar,3,10,77.66666666666667
CoRe-WM old,amidar,3,11,60.166666666666664
CoRe-WM old,amidar,3,12,71.0
CoRe-WM old,amidar,3,13,76.71428571428571
CoRe-WM old,amidar,3,14,89.42857142857143
CoRe-WM old,amidar,3,15,80.14285714285714
CoRe-WM old,amidar,3,16,87.85714285714286
CoRe-WM old,amidar,3,17,100.85714285714286
CoRe-WM old,amidar,3,18,95.71428571428571
CoRe-WM old,amidar,3,19,121.375
CoRe-WM old,amidar,4,0,1.125
CoRe-WM old,amidar,4,1,2.5
CoRe-WM old,amidar,4,2,22.125
CoRe-WM old,amidar,4,3,43.42857142857143
CoRe-WM old,amidar,4,4,44.75
CoRe-WM old,amidar,4,5,46.857142857142854
CoRe-WM old,amidar,4,6,69.25
CoRe-WM old,amidar,4,7,57.5
CoRe-WM old,amidar,4,8,61.142857142857146
CoRe-WM old,amidar,4,9,56.125
CoRe-WM old,amidar,4,10,98.6
CoRe-WM old,amidar,4,11,75.42857142857143
CoRe-WM old,amidar,4,12,86.8
CoRe-WM old,amidar,4,13,78.33333333333333
CoRe-WM old,amidar,4,14,123.5
CoRe-WM old,amidar,4,15,101.33333333333333
CoRe-WM old,amidar,4,16,75.83333333333333
CoRe-WM old,amidar,4,17,76.16666666666667
CoRe-WM old,amidar,4,18,128.2
CoRe-WM old,amidar,4,19,99.5
CoRe-WM old,assault,0,0,283.5
CoRe-WM old,assault,0,1,233.625
CoRe-WM old,assault,0,2,234.5
CoRe-WM old,assault,0,3,519.75
CoRe-WM old,assault,0,4,420.0
CoRe-WM old,assault,0,5,413.0
CoRe-WM old,assault,0,6,583.8
CoRe-WM old,assault,0,7,619.5
CoRe-WM old,assault,0,8,600.6
CoRe-WM old,assault,0,9,588.0
CoRe-WM old,assault,0,10,621.6
CoRe-WM old,assault,0,11,604.8
CoRe-WM old,assault,0,12,591.0
CoRe-WM old,assault,0,13,626.5
CoRe-WM old,assault,0,14,567.0
CoRe-WM old,assault,0,15,553.0
CoRe-WM old,assault,0,16,540.0
CoRe-WM old,assault,0,17,659.4
CoRe-WM old,assault,0,18,686.0
CoRe-WM old,assault,0,19,531.0
CoRe-WM old,assault,1,0,278.25
CoRe-WM old,assault,1,1,202.125
CoRe-WM old,assault,1,2,399.0
CoRe-WM old,assault,1,3,567.0
CoRe-WM old,assault,1,4,441.0
CoRe-WM old,assault,1,5,434.0
CoRe-WM old,assault,1,6,546.0
CoRe-WM old,assault,1,7,451.5
CoRe-WM old,assault,1,8,583.8
CoRe-WM old,assault,1,9,532.0
CoRe-WM old,assault,1,10,567.0
CoRe-WM old,assault,1,11,625.8
CoRe-WM old,assault,1,12,661.5
CoRe-WM old,assault,1,13,609.0
CoRe-WM old,assault,1,14,672.0
CoRe-WM old,assault,1,15,612.5
CoRe-WM old,assault,1,16,633.5
CoRe-WM old,assault,1,17,617.4
CoRe-WM old,assault,1,18,537.0
CoRe-WM old,assault,1,19,668.5
CoRe-WM old,assault,2,0,196.875
CoRe-WM old,assault,2,1,210.0
CoRe-WM old,assault,2,2,207.66666666666666
CoRe-WM old,assault,2,3,303.0
CoRe-WM old,assault,2,4,267.75
CoRe-WM old,assault,2,5,374.5
CoRe-WM old,assault,2,6,476.0
CoRe-WM old,assault,2,7,430.5
CoRe-WM old,assault,2,8,582.75
CoRe-WM old,assault,2,9,411.6
CoRe-WM old,assault,2,10,609.0
CoRe-WM old,assault,2,11,630.0
CoRe-WM old,assault,2,12,567.0
CoRe-WM old,assault,2,13,612.5
CoRe-WM old,assault,2,14,546.0
CoRe-WM old,assault,2,15,534.0
CoRe-WM old,assault,2,16,619.5
CoRe-WM old,assault,2,17,621.6
CoRe-WM old,assault,2,18,668.5
CoRe-WM old,assault,2,19,654.5
CoRe-WM old,assault,3,0,254.625
CoRe-WM old,assault,3,1,216.0
CoRe-WM old,assault,3,2,290.5
CoRe-WM old,assault,3,3,562.8
CoRe-WM old,assault,3,4,497.0
CoRe-WM old,assault,3,5,474.0
