game,mean_return,sd,hns
alien,667.2,195.04281581232362,0.06368208234901955
amidar,116.734,13.105583924419392,0.06473361731925074
assault,626.0260000000001,42.51732917293843,0.7768013856812933
asterix,584.0,146.8306848039605,0.04509664427911688
bank_heist,28.660000000000004,6.2680140395503265,0.0195696305318717
battle_zone,18452.0,2511.179005965126,0.4620486684372981
boxing,60.54600000000001,15.777044400013583,5.037166666666667
breakout,7.15,0.4987985565335971,0.1892361111111111
chopper_command,1232.8,162.34592695845498,0.06413453351173823
crazy_climber,55687.8,9304.702773329194,1.792785311929865
demon_attack,223.82,46.5703178000752,0.03943042498213206
freeway,0.0,0.0,0.0
frostbite,2008.1799999999998,1196.9249671554187,0.45508373345825043
gopher,963.1600000000001,207.89085597976646,0.3274212260429718
hero,8056.210000000001,1301.6995286931617,0.23588427954925267
jamesbond,320.1,117.27073377445883,1.0631848064280498
kangaroo,1744.0,1438.5353662666762,0.5672142138786457
krull,9124.0,1846.5971582887266,7.050117096018735
kung_fu_master,22470.6,7540.094515322736,0.9881794481666356
ms_pacman,1020.8,164.31098563394963,0.10738527760636937
pong,-7.162000000000001,3.1865765328954514,0.3835127478753541
private_eye,2723.382,1825.7549032304419,0.0388011744676935
qbert,916.9,277.14631740291986,0.056654452979813565
road_runner,12270.2,2563.4290901056734,1.5649071296355397
seaquest,485.84,172.63344982940015,0.009942290699585342
up_n_down,79990.58,76015.61457646053,7.119946594024983
