method,game,bin,mean,std,seeds,sem,agent_steps,checkpoint
CoRe-WM old,breakout,,2.8600000000000003,1.5142654985173505,5,0.6772001181334805,40000.0,
CoRe-WM old,breakout,,4.34,1.3334166640626628,5,0.5963220606350229,50000.0,
CoRe-WM old,breakout,,4.32,1.4855975228843104,5,0.6643794096749235,60000.0,
CoRe-WM old,breakout,,4.68,2.267597847943943,5,1.0141005867269777,70000.0,
CoRe-WM old,breakout,,5.32,1.9070920271449927,5,0.8528774824088158,80000.0,
CoRe-WM old,breakout,,6.24,1.0014988766843425,5,0.4478839135311737,90000.0,
CoRe-WM old,breakout,,6.609999999999999,1.463301062666189,5,0.6544081295338557,100000.0,
CoRe-WM old,chopper_command,,788.0,196.7739820199815,5,88.0,10000.0,
CoRe-WM old,chopper_command,,558.0,220.83930809527547,5,98.76234100101112,20000.0,
CoRe-WM old,chopper_command,,692.0,80.74651695274541,5,36.11094017053558,30000.0,
CoRe-WM old,chopper_command,,746.0,138.13037319865606,5,61.773780845922,40000.0,
CoRe-WM old,chopper_command,,750.0,162.0185174601965,5,72.45688373094718,50000.0,
CoRe-WM old,chopper_command,,878.0,208.8540160016082,5,93.40235543068496,60000.0,
CoRe-WM old,chopper_command,,1032.0,185.930094390338,5,83.15046602394962,70000.0,
CoRe-WM old,chopper_command,,976.0,265.57484820667787,5,118.76868274086397,80000.0,
CoRe-WM old,chopper_command,,860.0,244.54038521274967,5,109.36178491593851,90000.0,
CoRe-WM old,chopper_command,,1141.6,168.6010083006623,5,75.40066312705744,100000.0,
CoRe-WM old,crazy_climber,,8282.0,4504.844059454223,5,2014.627508995149,10000.0,
CoRe-WM old,crazy_climber,,19416.0,6895.087381607284,5,3083.576819214984,20000.0,
CoRe-WM old,crazy_climber,,26710.0,9442.91533373036,5,4223.00011839924,30000.0,
CoRe-WM old,crazy_climber,,38592.0,9491.357647881572,5,4244.6641798851415,40000.0,
CoRe-WM old,crazy_climber,,48620.0,6641.825803195986,5,2970.314798131673,50000.0,
CoRe-WM old,crazy_climber,,46456.0,8079.516074617341,5,3613.269433629328,60000.0,
CoRe-WM old,crazy_climber,,47686.0,6270.971216645791,5,2804.4635850729096,70000.0,
CoRe-WM old,crazy_climber,,54534.0,6378.673843362741,5,2852.629664011786,80000.0,
CoRe-WM old,crazy_climber,,58480.0,11216.795442549534,5,5016.303419850118,90000.0,
CoRe-WM old,crazy_climber,,58110.8,6741.967494730304,5,3015.099524062183,100000.0,
CoRe-WM old,demon_attack,,145.2,91.49631140106142,5,40.91839439665247,10000.0,
CoRe-WM old,demon_attack,,274.6,122.30106295531532,5,54.69469809771327,20000.0,
CoRe-WM old,demon_attack,,303.7,139.6417738357688,5,62.44969975908611,30000.0,
CoRe-WM old,demon_attack,,266.3,95.42968615687678,5,42.67745306364943,40000.0,
CoRe-WM old,demon_attack,,269.6,122.44560016595126,5,54.75933710336531,50000.0,
CoRe-WM old,demon_attack,,275.9,65.72518543146151,5,29.39319649170536,60000.0,
CoRe-WM old,demon_attack,,223.8,68.25467016988654,5,30.52441645633868,70000.0,
CoRe-WM old,demon_attack,,223.9,90.31362023526684,5,40.38947882803144,80000.0,
CoRe-WM old,demon_attack,,228.7,62.26315122124803,5,27.844927724811928,90000.0,
CoRe-WM old,demon_attack,,284.51,113.12954631748508,5,50.59307116592153,100000.0,
CoRe-WM old,freeway,,0.0,0.0,5,0.0,10000.0,
CoRe-WM old,freeway,,0.0,0.0,5,0.0,20000.0,
CoRe-WM old,freeway,,0.0,0.0,5,0.0,30000.0,
CoRe-WM old,freeway,,0.0,0.0,5,0.0,40000.0,
CoRe-WM old,freeway,,0.0,0.0,5,0.0,50000.0,
CoRe-WM old,freeway,,0.0,0.0,5,0.0,60000.0,
CoRe-WM old,freeway,,0.1,0.0,5,0.0,70000.0,
CoRe-WM old,freeway,,0.02,0.0447213595499957,5,0.02,80000.0,
CoRe-WM old,freeway,,0.1,0.2236067977499789,5,0.0999999999999999,90000.0,
CoRe-WM old,freeway,,0.0,0.0,5,0.0,100000.0,
CoRe-WM old,frostbite,,86.6,45.61030585295389,5,20.397548872352285,10000.0,
CoRe-WM old,frostbite,,380.4,449.961442792602,5,201.22887466762816,20000.0,
CoRe-WM old,frostbite,,474.8,570.0541202377192,5,254.9359527410757,30000.0,
CoRe-WM old,frostbite,,458.0,540.1504420066691,5,241.562621280694,40000.0,
CoRe-WM old,frostbite,,477.6,427.9203196858032,5,191.37178475417943,50000.0,
CoRe-WM old,frostbite,,687.0,666.0987164077109,5,297.8884019225992,60000.0,
CoRe-WM old,frostbite,,648.4,455.8533755496388,5,203.86382710034653,70000.0,
CoRe-WM old,frostbite,,1262.4,976.3525490313424,5,436.6381339278556,80000.0,
CoRe-WM old,frostbite,,1295.2,1113.8777760598332,5,498.14128517921495,90000.0,
CoRe-WM old,frostbite,,1570.6,1161.0500979716594,5,519.2373888694842,100000.0,
CoRe-WM old,gopher,,306.4,32.35428874198906,5,14.469277798148738,10000.0,
CoRe-WM old,gopher,,424.0,65.5286197016235,5,29.305289624912422,20000.0,
CoRe-WM old,gopher,,387.2,87.87035905241312,5,39.29681920970194,30000.0,
CoRe-WM old,gopher,,450.8,98.33209038762472,5,43.97544769527651,40000.0,
CoRe-WM old,gopher,,538.4,121.60098683810097,5,54.38161454021019,50000.0,
CoRe-WM old,gopher,,582.4,147.71865149668812,5,66.06178925823913,60000.0,
CoRe-WM old,gopher,,846.8,54.728420404758616,5,24.475293665245363,70000.0,
CoRe-WM old,gopher,,927.6,204.79941406166185,5,91.58908231880042,80000.0,
CoRe-WM old,gopher,,1393.2,364.918072997214,5,163.19632348800016,90000.0,
CoRe-WM old,gopher,,1405.84,245.2081727838613,5,109.66042859664552,100000.0,
CoRe-WM old,hero,,288.2,402.090257280626,5,179.82022967397188,10000.0,
CoRe-WM old,hero,,2789.0,158.4526743226507,5,70.86219020041646,20000.0,
CoRe-WM old,hero,,2907.6,172.88666808056655,5,77.31726844631798,30000.0,
CoRe-WM old,hero,,3099.6,86.05477906543022,5,38.48486715580556,40000.0,
CoRe-WM old,hero,,3239.3,146.73087609634183,5,65.62004266990385,50000.0,
CoRe-WM old,hero,,3618.5,1094.4592271985284,5,489.4570461235592,60000.0,
CoRe-WM old,hero,,5022.6,1864.097549754304,5,833.649767588284,70000.0,
CoRe-WM old,hero,,6629.1,1251.641242529184,5,559.7509803475112,80000.0,
CoRe-WM old,hero,,7531.3,31.46347088291436,5,14.070891940456365,90000.0,
CoRe-WM old,hero,,7502.05,73.14655665169754,5,32.71213459864702,100000.0,
CoRe-WM old,jamesbond,,19.0,11.937336386313325,5,5.338539126015656,10000.0,
CoRe-WM old,jamesbond,,60.0,32.4037034920393,5,14.491376746189436,20000.0,
CoRe-WM old,jamesbond,,99.0,40.3732584763727,5,18.055470085267785,30000.0,
CoRe-WM old,jamesbond,,125.0,30.618621784789728,5,13.693063937629152,40000.0,
CoRe-WM old,jamesbond,,145.0,94.00797838481584,5,42.04164601915581,50000.0,
CoRe-WM old,jamesbond,,169.0,80.34301463101818,5,35.93048844644336,60000.0,
CoRe-WM old,jamesbond,,239.0,110.19301248264338,5,49.27981331133469,70000.0,
CoRe-WM old,jamesbond,,211.0,37.6497011940334,5,16.837458240482736,80000.0,
CoRe-WM old,jamesbond,,232.0,162.08022704821215,5,72.48448109768049,90000.0,
CoRe-WM old,jamesbond,,351.0,250.79398916242,5,112.1584816231033,100000.0,
CoRe-WM old,kangaroo,,52.0,22.80350850198276,5,10.198039027185567,10000.0,
CoRe-WM old,kangaroo,,44.0,66.93280212272605,5,29.93325909419153,20000.0,
CoRe-WM old,kangaroo,,100.0,108.62780491200216,5,48.57983120596448,30000.0,
CoRe-WM old,kangaroo,,92.0,130.843417870369,5,58.514955353311166,40000.0,
CoRe-WM old,kangaroo,,208.0,179.2205345377588,5,80.1498596380555,50000.0,
CoRe-WM old,kangaroo,,496.0,232.12065827926648,5,103.80751417888784,60000.0,
CoRe-WM old,kangaroo,,604.0,339.8234835911138,5,151.97368193210295,70000.0,
CoRe-WM old,kangaroo,,1068.0,1047.2440021313084,5,468.34175555890806,80000.0,
CoRe-WM old,kangaroo,,1176.0,1096.758861372909,5,490.4854737910185,90000.0,
CoRe-WM old,kangaroo,,1306.8,695.588384031821,5,311.0765822108761,100000.0,
CoRe-WM old,krull,,2014.0,459.4077709399352,5,205.45340104266955,10000.0,
CoRe-WM old,krull,,2696.4,561.7012551169884,5,251.2004378977075,20000.0,
CoRe-WM old,krull,,6308.8,3810.8044688753057,5,1704.243568273033,30000.0,
CoRe-WM old,krull,,6602.6,341.44516397219616,5,152.69891944607855,40000.0,
CoRe-WM old,krull,,7131.6,572.4266765272212,5,255.99699216982995,50000.0,
CoRe-WM old,krull,,7083.6,542.4359870067618,5,242.5847480778624,60000.0,
CoRe-WM old,krull,,7379.6,328.591387592554,5,146.9505358955863,70000.0,
CoRe-WM old,krull,,7693.6,365.3146588901135,5,163.3736820910883,80000.0,
CoRe-WM old,krull,,7853.0,864.4735392133178,5,386.6043196861617,90000.0,
CoRe-WM old,krull,,7876.360000000001,269.7134646249609,5,120.61952826967948,100000.0,
CoRe-WM old,kung_fu_master,,460.0,144.04860290887933,5,64.42049363362563,10000.0,
CoRe-WM old,kung_fu_master,,4908.0,4115.145197924369,5,1840.3488799681431,20000.0,
CoRe-WM old,kung_fu_master,,10790.0,5595.37755651931,5,2502.32891523077,30000.0,
CoRe-WM old,kung_fu_master,,11906.0,7571.613434400887,5,3386.128467734205,40000.0,
CoRe-WM old,kung_fu_master,,13176.0,9571.845694535616,5,4280.6595286240645,50000.0,
CoRe-WM old,kung_fu_master,,15590.0,9172.09627075512,5,4101.886151516153,60000.0,
CoRe-WM old,kung_fu_master,,15038.0,7057.504516470393,5,3156.211970067917,70000.0,
CoRe-WM old,kung_fu_master,,18834.0,6705.499981358586,5,2998.790756288274,80000.0,
CoRe-WM old,kung_fu_master,,19974.0,8864.54905790475,5,3964.346856671348,90000.0,
CoRe-WM old,kung_fu_master,,18675.0,6356.217939938812,5,2842.587078701372,100000.0,
CoRe-WM old,ms_pacman,,430.0,106.08251505314152,5,47.44154297659384,10000.0,
CoRe-WM old,ms_pacman,,527.2,146.18720874276244,5,65.37690723795367,20000.0,
CoRe-WM old,ms_pacman,,519.6,80.4630349912306,5,35.984163183267164,30000.0,
CoRe-WM old,ms_pacman,,552.2,220.5577022005806,5,98.63640301633065,40000.0,
CoRe-WM old,ms_pacman,,622.4,22.65612499965517,5,10.13212712119227,50000.0,
CoRe-WM old,ms_pacman,,638.2,165.2791577906906,5,73.91508641677962,60000.0,
CoRe-WM old,ms_pacman,,707.2,38.8419875907503,5,17.37066492682419,70000.0,
CoRe-WM old,ms_pacman,,939.6,202.18135423426168,5,90.4182503701548,80000.0,
CoRe-WM old,ms_pacman,,1026.6,315.19406720304875,5,140.9590720741308,90000.0,
CoRe-WM old,ms_pacman,,896.28,206.87821779974803,5,92.5187516128487,100000.0,
CoRe-WM old,pong,,-20.52,0.2387467277262683,5,0.1067707825203139,10000.0,
CoRe-WM old,pong,,-20.68,0.3033150177620619,5,0.1356465996625052,20000.0,
CoRe-WM old,pong,,-20.32,0.2167948338867889,5,0.0969535971483269,30000.0,
CoRe-WM old,pong,,-18.86,1.4328293687665663,5,0.6407807737440312,40000.0,
CoRe-WM old,pong,,-17.5,1.218605760695394,5,0.5449770637375484,50000.0,
CoRe-WM old,pong,,-15.98,1.255786606076049,5,0.5616048432839592,60000.0,
CoRe-WM old,pong,,-15.52,2.175316068988596,5,0.9728309205612248,70000.0,
CoRe-WM old,pong,,-11.34,1.5388307249337072,5,0.6881860213634099,80000.0,
CoRe-WM old,pong,,-11.52,1.5417522498767429,5,0.6894925670375277,90000.0,
CoRe-WM old,pong,,-6.412000000000001,1.7218217097016757,5,0.7700220776055711,100000.0,
CoRe-WM old,private_eye,,379.66,1351.021967993119,5,604.1953919056318,10000.0,
CoRe-WM old,private_eye,,551.3399999999999,1177.7283124727874,5,526.6961131430531,20000.0,
CoRe-WM old,private_eye,,75.26,43.30517290116736,5,19.3666620768784,30000.0,
CoRe-WM old,private_eye,,870.68,1779.426399714245,5,795.7836781437528,40000.0,
CoRe-WM old,private_eye,,908.0800000000002,1864.9770017348744,5,834.0430704705843,50000.0,
CoRe-WM old,private_eye,,352.04,660.0665178601321,5,295.19072072136686,60000.0,
CoRe-WM old,private_eye,,56.760000000000005,52.234930841344095,5,23.360171232249133,70000.0,
CoRe-WM old,private_eye,,587.78,1192.202852705864,5,533.1693243238961,80000.0,
CoRe-WM old,private_eye,,660.8599999999999,1629.9713150850232,5,728.945332380968,90000.0,
CoRe-WM old,private_eye,,440.256,1494.9334191461508,5,668.5545494093957,100000.0,
CoRe-WM old,qbert,,198.5,58.08399090971625,5,25.97595041572108,10000.0,
CoRe-WM old,qbert,,290.0,70.04462863060951,5,31.324910215354173,20000.0,
CoRe-WM old,qbert,,362.0,87.73895941940502,5,39.23805550737702,30000.0,
CoRe-WM old,qbert,,321.5,36.08150495752637,5,16.136139563104923,40000.0,
CoRe-WM old,qbert,,458.5,150.28722500598644,5,67.21049025263838,50000.0,
CoRe-WM old,qbert,,597.5,209.6798154329596,5,93.77166416354144,60000.0,
CoRe-WM old,qbert,,623.5,108.08850540182335,5,48.33864913296605,70000.0,
CoRe-WM old,qbert,,658.0,46.07738056790989,5,20.60643103499488,80000.0,
CoRe-WM old,qbert,,687.5,163.85969608173937,5,73.28028384224503,90000.0,
CoRe-WM old,qbert,,809.7,138.49451703948426,5,61.93663092225795,100000.0,
CoRe-WM old,road_runner,,784.0,215.2440475367437,5,96.26006440887105,10000.0,
CoRe-WM old,road_runner,,3672.0,2196.7635284663666,5,982.422516028618,20000.0,
CoRe-WM old,road_runner,,5784.0,4981.819948573011,5,2227.937611334752,30000.0,
CoRe-WM old,road_runner,,9402.0,5457.272212378635,5,2440.56632771986,40000.0,
CoRe-WM old,road_runner,,10998.0,5461.430215612024,5,2442.425843295964,50000.0,
CoRe-WM old,road_runner,,11732.0,5925.079746298778,5,2649.776216966255,60000.0,
CoRe-WM old,road_runner,,11558.0,5564.181880564293,5,2488.377784822875,70000.0,
CoRe-WM old,road_runner,,11704.0,5508.664084875752,5,2463.5494717987704,80000.0,
CoRe-WM old,road_runner,,12144.0,4935.58811085366,5,2207.26210496171,90000.0,
CoRe-WM old,road_runner,,12558.0,4268.778689508276,5,1909.0558661285947,100000.0,
CoRe-WM old,seaquest,,268.4,148.3603720674763,5,66.3487754220076,10000.0,
CoRe-WM old,seaquest,,304.8,85.48216188188036,5,38.22878496630516,20000.0,
CoRe-WM old,seaquest,,421.2,197.6340051711749,5,88.38461404565841,30000.0,
CoRe-WM old,seaquest,,448.4,181.67773666577864,5,81.2487538365974,40000.0,
CoRe-WM old,seaquest,,400.8,136.7742665854948,5,61.16731153156888,50000.0,
CoRe-WM old,seaquest,,422.8,194.44587935978484,5,86.95884083864043,60000.0,
CoRe-WM old,seaquest,,488.4,156.48897724760042,5,69.98399817101048,70000.0,
CoRe-WM old,seaquest,,362.4,90.23746450338685,5,40.355420949359456,80000.0,
CoRe-WM old,seaquest,,373.2,151.58891780074163,5,67.79262496761723,90000.0,
CoRe-WM old,seaquest,,515.52,113.98698171282544,5,50.97652793198061,100000.0,
CoRe-WM old,up_n_down,,1525.8,772.757206372092,5,345.5875287101663,10000.0,
CoRe-WM old,up_n_down,,1214.6,461.4735095322374,5,206.377227425896,20000.0,
CoRe-WM old,up_n_down,,2078.8,910.4700434391018,5,407.1745817214036,30000.0,
CoRe-WM old,up_n_down,,3011.8,1662.6064477199648,5,743.5402073862582,40000.0,
CoRe-WM old,up_n_down,,42031.8,57442.07485980986,5,25688.876831033307,50000.0,
CoRe-WM old,up_n_down,,69634.0,98678.18828646989,5,44130.227381014025,60000.0,
CoRe-WM old,up_n_down,,64294.8,86397.437413965,5,38638.10862788188,70000.0,
CoRe-WM old,up_n_down,,77800.6,96963.79640773148,5,43363.52802482749,80000.0,
CoRe-WM old,up_n_down,,81238.6,84566.3219627057,5,37819.20890314868,90000.0,
CoRe-WM old,up_n_down,,57996.54,49975.535484204665,5,22349.7389109269,100000.0,
Harmony,alien,,221.2,40.9963413001697,5,18.334121195192314,10000.0,10000.0
Harmony,alien,,249.6,130.78340873367694,5,58.48811845152826,20000.0,20000.0
Harmony,alien,,266.2,51.22694603428941,5,22.909386722476878,30000.0,30000.0
Harmony,alien,,412.2,199.1223242130324,5,89.05021055561855,40000.0,40000.0
Harmony,alien,,342.0,59.12698199637793,5,26.442390209661454,50000.0,50000.0
Harmony,alien,,502.0,100.4166320885141,5,44.90768308430084,60000.0,60000.0
Harmony,alien,,421.4,132.72829389395466,5,59.35789753689057,70000.0,70000.0
Harmony,alien,,566.0,98.08159868191383,5,43.86342439892262,80000.0,80000.0
Harmony,alien,,677.4,129.38624347278963,5,57.86328715169921,90000.0,90000.0
Harmony,alien,,667.2,195.04281581232362,5,87.2257989358653,100000.0,100000.0
Harmony,amidar,,15.16,15.364016401969895,5,6.870997016445283,10000.0,10000.0
Harmony,amidar,,37.38,17.832610577254243,5,7.97498589340445,20000.0,20000.0
Harmony,amidar,,53.839999999999996,21.180486302254728,5,9.472201433668946,30000.0,30000.0
Harmony,amidar,,61.32000000000001,13.927203595840773,5,6.228434795355895,40000.0,40000.0
Harmony,amidar,,66.5,11.693374192250925,5,5.229435916042952,50000.0,50000.0
Harmony,amidar,,65.52000000000001,9.073422727945612,5,4.057758001655594,60000.0,60000.0
Harmony,amidar,,88.25999999999999,17.460040091592,5,7.808367306934272,70000.0,70000.0
Harmony,amidar,,95.92,16.76878051618543,5,7.499226626792926,80000.0,80000.0
Harmony,amidar,,100.32000000000001,18.141582069929843,5,8.113162145550895,90000.0,90000.0
Harmony,amidar,,116.734,13.105583924419392,5,5.860995307966045,100000.0,100000.0
Harmony,assault,,254.51999999999998,131.15672685760345,5,58.65507139199473,10000.0,10000.0
Harmony,assault,,398.58000000000004,80.12263725065472,5,35.83193268580416,20000.0,20000.0
Harmony,assault,,388.08000000000004,68.79543589512313,5,30.766254240644884,30000.0,30000.0
Harmony,assault,,476.26000000000005,63.86754261751426,5,28.562433369725348,40000.0,40000.0
Harmony,assault,,535.92,103.7047105969637,5,46.37815649635072,50000.0,50000.0
Harmony,assault,,525.42,51.640362121116056,5,23.094272017104146,60000.0,60000.0
Harmony,assault,,554.4,50.596491973258374,5,22.627439095045638,70000.0,70000.0
Harmony,assault,,569.3,33.43538544715759,5,14.952758942750314,80000.0,80000.0
Harmony,assault,,604.78,21.450221444078405,5,9.592830656276604,90000.0,90000.0
Harmony,assault,,626.0260000000001,42.51732917293843,5,19.014327650485047,100000.0,100000.0
Harmony,asterix,,240.0,73.824115301167,5,33.015148038438355,10000.0,10000.0
Harmony,asterix,,288.0,191.2001569037013,5,85.50730962906036,20000.0,20000.0
Harmony,asterix,,311.0,62.489999199871974,5,27.946377224964237,30000.0,30000.0
Harmony,asterix,,336.0,52.36888389110465,5,23.42007685726074,40000.0,40000.0
Harmony,asterix,,501.0,153.0277752566507,5,68.43610158388626,50000.0,50000.0
Harmony,asterix,,453.0,209.24268207036536,5,93.57617218074267,60000.0,60000.0
Harmony,asterix,,467.0,56.08029957123981,5,25.079872407968907,70000.0,70000.0
Harmony,asterix,,511.0,84.95587089777845,5,37.99342048302574,80000.0,80000.0
Harmony,asterix,,507.0,48.295962564173,5,21.598611066455177,90000.0,90000.0
Harmony,asterix,,584.0,146.8306848039605,5,65.6646784809002,100000.0,100000.0
Harmony,bank_heist,,5.0,3.391164991562634,5,1.51657508881031,10000.0,10000.0
Harmony,bank_heist,,5.4,4.774934554525329,5,2.1354156504062622,20000.0,20000.0
Harmony,bank_heist,,10.2,6.058052492344384,5,2.7092434368288134,30000.0,30000.0
Harmony,bank_heist,,14.6,4.560701700396552,5,2.039607805437114,40000.0,40000.0
Harmony,bank_heist,,16.6,4.219004621945797,5,1.8867962264113205,50000.0,50000.0
Harmony,bank_heist,,21.4,5.9833101206606365,5,2.6758176320519302,60000.0,60000.0
Harmony,bank_heist,,21.8,6.906518659932803,5,3.0886890422961,70000.0,70000.0
Harmony,bank_heist,,27.4,4.39317652729776,5,1.9646882704388502,80000.0,80000.0
Harmony,bank_heist,,30.4,4.159326868617084,5,1.8601075237738274,90000.0,90000.0
Harmony,bank_heist,,28.660000000000004,6.2680140395503265,5,2.803141095271517,100000.0,100000.0
Harmony,battle_zone,,2800.0,1343.5028842544402,5,600.832755431992,10000.0,10000.0
Harmony,battle_zone,,1940.0,838.4509526501834,5,374.96666518505344,20000.0,20000.0
Harmony,battle_zone,,2840.0,1069.1117808723277,5,478.1213235152768,30000.0,30000.0
Harmony,battle_zone,,6400.0,3938.908478246226,5,1761.5334229017624,40000.0,40000.0
Harmony,battle_zone,,8520.0,1336.7871932360813,5,597.8294071054049,50000.0,50000.0
Harmony,battle_zone,,11660.0,1813.2843130629021,5,810.9253973085317,60000.0,60000.0
Harmony,battle_zone,,18360.0,6874.4454321785115,5,3074.345458792814,70000.0,70000.0
Harmony,battle_zone,,16600.0,3724.916106437835,5,1665.8331248957682,80000.0,80000.0
Harmony,battle_zone,,19980.0,2787.8306978724518,5,1246.755790040696,90000.0,90000.0
Harmony,battle_zone,,18452.0,2511.179005965126,5,1123.0333922016744,100000.0,100000.0
