arm,checkpoint,episode,score,actions
harmony,100000,20,64670.0,7304
harmony,100000,21,128960.0,14226
harmony,100000,22,226660.0,24621
harmony,100000,23,243470.0,25928
harmony,100000,24,164900.0,17964
harmony,100000,25,225210.0,24219
harmony,100000,26,209610.0,22304
harmony,100000,27,195010.0,20702
harmony,100000,28,261460.0,27000
harmony,100000,29,253540.0,27000
harmony,100000,30,252180.0,27000
harmony,100000,31,237910.0,24703
harmony,100000,32,48130.0,5733
harmony,100000,33,187590.0,20360
harmony,100000,34,17760.0,2518
harmony,100000,35,223710.0,23747
harmony,100000,36,256660.0,27000
harmony,100000,37,177100.0,19576
harmony,100000,38,257750.0,27000
harmony,100000,39,247800.0,25815
harmony,100000,40,87680.0,9553
harmony,100000,41,240210.0,25182
harmony,100000,42,255500.0,27000
harmony,100000,43,204180.0,21932
harmony,100000,44,259670.0,26949
harmony,100000,45,266300.0,27000
harmony,100000,46,250140.0,27000
harmony,100000,47,155670.0,16636
harmony,100000,48,88660.0,9844
harmony,100000,49,249370.0,27000
harmony,100000,50,106640.0,11797
harmony,100000,51,242700.0,25951
harmony,100000,52,223370.0,23843
harmony,100000,53,142290.0,15708
harmony,100000,54,253340.0,27000
harmony,100000,55,95050.0,10470
harmony,100000,56,208250.0,22030
harmony,100000,57,251380.0,27000
harmony,100000,58,236710.0,26628
harmony,100000,59,191120.0,20882
harmony,100000,60,158060.0,17904
harmony,100000,61,186740.0,24763
harmony,100000,62,200030.0,21055
harmony,100000,63,244940.0,27000
harmony,100000,64,211550.0,22851
harmony,100000,65,221080.0,22735
harmony,100000,66,250150.0,27000
harmony,100000,67,97470.0,10501
harmony,100000,68,240850.0,24936
harmony,100000,69,154960.0,17434
harmony,100000,70,253380.0,27000
harmony,100000,71,85750.0,9654
harmony,100000,72,167170.0,17745
harmony,100000,73,198050.0,20456
harmony,100000,74,199820.0,22640
harmony,100000,75,224030.0,23617
harmony,100000,76,210910.0,21828
harmony,100000,77,45350.0,5759
harmony,100000,78,160360.0,18390
harmony,100000,79,217220.0,23607
harmony,100000,80,203070.0,21441
harmony,100000,81,186440.0,19783
harmony,100000,82,159530.0,16418
harmony,100000,83,260540.0,27000
harmony,100000,84,245510.0,25986
harmony,100000,85,139170.0,14538
harmony,100000,86,63440.0,7250
harmony,100000,87,238840.0,26197
harmony,100000,88,192200.0,20678
harmony,100000,89,233500.0,25977
harmony,100000,90,199690.0,21163
harmony,100000,91,253380.0,27000
harmony,100000,92,258140.0,27000
harmony,100000,93,121350.0,12927
harmony,100000,94,241470.0,26549
harmony,100000,95,265900.0,27000
harmony,100000,96,242940.0,27000
harmony,100000,97,252620.0,27000
harmony,100000,98,178010.0,19737
harmony,100000,99,249210.0,26127
harmony,100000,100,99040.0,11091
