role,arm,game,seed,agent_steps,mean_return,episode_sd,episodes,hns,random_reference,human_reference
comparator,recon_no_sg,boxing,0,100000,75.11,8.710721363163138,100,6.2508333333333335,0.1,12.1
comparator,recon_no_sg,up_n_down,0,100000,217520.3,46969.15352374762,100,19.4436190612735,533.4,11693.2
comparator,recon_no_sg,frostbite,0,100000,2429.3,508.2695041893512,100,0.5537182339852442,65.2,4334.7
comparator,recon_no_sg,road_runner,0,100000,8695.0,3901.524566037479,100,1.1085083296100082,11.5,7845.0
ablation,recon_final_only,boxing,0,100000,84.06,9.850211503651416,100,6.996666666666667,0.1,12.1
ablation,recon_final_only,up_n_down,0,100000,16214.4,17670.411799720943,100,1.4051327084714778,533.4,11693.2
ablation,recon_final_only,frostbite,0,100000,338.6,48.742158136442626,100,0.0640356013584729,65.2,4334.7
ablation,recon_final_only,road_runner,0,100000,15931.0,1614.4983897499094,100,2.0322333567370907,11.5,7845.0
