arm,game,seed,checkpoint_hash,config_sha256,episodes_sha256,source_run
all1,boxing,0,b99c86caf3fbc84e44681c5eefa1926a97974cbccee788765797566738868ca1,ae1e19b4b773527a4e26339054db1bf6704c5cefe80368ac819eb886340d4aa2,533187409f581e349643fa20d22caa37416112bf47566e7d304b7dee1c1382d8,production_runs/original_ablation_20260918/runs/all1/boxing/seed_0
all1,up_n_down,0,e8a6e18a9f75d8d39327ca24d8d1f7f2b9540f393c1e31dd6a16bf5d1fdfe240,cdcaca7044f157a23c4ef84ad5b563901a716561786637ea342febe51987d3b7,36551df59ec4fa7978ca12bafa8a1f39e9c593eb5242357811062413f965976e,production_runs/original_ablation_20260918/runs/all1/up_n_down/seed_0
all1,frostbite,0,e34f2347a92590052e422a5b9f1472864c38a9eaa7eaa0b265d29b9c70f396fb,4192c42d4a18602de2d9dfef33d477c001aa70ec413bd23fc072ba0c4ea2a156,20c72b972e0bbcaca798c83c17b022a1f6f9b1d00b43b9d8e07f44b3f8915d88,production_runs/original_ablation_20260918/runs/all1/frostbite/seed_0
all1,road_runner,0,7cb7f1eaa242289cc2250ef48b51c2f95928b304c62c1814d1108dcd13820936,9dc9a5132e1d5a9f20d1f011865466decfac104c557feea9021763c477209ba3,eef03dad9769d87e3902120f46d1b691f44e671793d01ce2638bd8223690a713,production_runs/original_ablation_20260918/runs/all1/road_runner/seed_0
all1_validnorm,boxing,0,1e0030b18dbebb16751dd7758aed2402a0820da8dcee84ff83154ff680b7a790,cb083b77c62131f7d854f320990850e9e44df17dc2956801f15f212324f34dbb,b595632046903b87f2bf9019af7393b06c0d14910c8d2a7599d1da0432a3b0b5,production_runs/original_ablation_20260918/runs/all1_validnorm/boxing/seed_0
all1_validnorm,up_n_down,0,51a33c1a18069c24be45594403616378bf14b7352dcebbc68799996ddf9c590b,9317741857c89942b52efaed36df79466d2949ba708471d2527e1fb6f6c7319b,e42c8250a5cb56c9210590e1775d137c8e98fa0164fe01e21535a5cba50ff9ca,production_runs/original_ablation_20260918/runs/all1_validnorm/up_n_down/seed_0
all1_validnorm,frostbite,0,73db2f65f15be5aef8241dec1988236ee075da31e7003425b81d20fc190b7bb3,f40072da3f112a6b8ce3771365f0805a1d69c9170860968a01df9423243391d0,d4c97d054bb51295bdac5b46f5542fbd417d47e95affb942398dc7422c8c5603,production_runs/original_ablation_20260918/runs/all1_validnorm/frostbite/seed_0
all1_validnorm,road_runner,0,34a66ead7491a6fc0a56f3a703df548bdce7d928e4e071bbab6079a80cd33a5d,d0ebd9ebe56702dc721126be5b3326702b451ff3978bd942dedbec1e2ebaa84b,fe2899dec69cd694780776e9cb64e91f3daf1cade5c75a9ce32b9366a617e9ff,production_runs/original_ablation_20260918/runs/all1_validnorm/road_runner/seed_0
