role,arm,game,seed,agent_steps,mean_return,episode_sd,episodes,hns,random_reference,human_reference
comparator,warmup_80000,boxing,0,100000,86.72,7.05115507408452,100,7.218333333333334,0.1,12.1
comparator,warmup_80000,up_n_down,0,100000,4295.4,1269.2122905108658,100,0.33710281546264265,533.4,11693.2
comparator,warmup_80000,frostbite,0,100000,1657.2,624.7764529506663,100,0.3728773861107858,65.2,4334.7
comparator,warmup_80000,road_runner,0,100000,15218.0,2068.5905024114045,100,1.9412140167230485,11.5,7845.0
ablation,early_20000,boxing,0,100000,74.57,10.743337141190949,100,6.2058333333333335,0.1,12.1
ablation,early_20000,up_n_down,0,100000,87732.6,38861.674236770195,100,7.81368841735515,533.4,11693.2
ablation,early_20000,frostbite,0,100000,253.6,18.66883104335278,100,0.04412694694929148,65.2,4334.7
ablation,early_20000,road_runner,0,100000,13605.0,1814.496897186377,100,1.735303504180762,11.5,7845.0
