role,arm,game,seed,agent_steps,mean_return,episode_sd,episodes,hns,random_reference,human_reference
comparator,reverse,boxing,0,100000,70.8,11.686130949362862,100,5.891666666666667,0.1,12.1
comparator,reverse,up_n_down,0,100000,9914.6,11718.226795566095,100,0.8406243839495331,533.4,11693.2
comparator,reverse,frostbite,0,100000,2624.0,541.550337158761,100,0.5993207635554515,65.2,4334.7
comparator,reverse,road_runner,0,100000,14177.0,1437.4398538141807,100,1.8083232271653795,11.5,7845.0
ablation,reverse_validnorm,boxing,0,100000,68.3,10.426752692817248,100,5.683333333333334,0.1,12.1
ablation,reverse_validnorm,up_n_down,0,100000,21952.5,15934.310187818492,100,1.919308589759673,533.4,11693.2
ablation,reverse_validnorm,frostbite,0,100000,259.5,21.99058568082848,100,0.04550884178475231,65.2,4334.7
ablation,reverse_validnorm,road_runner,0,100000,15635.0,2074.5390141455814,100,1.9944469266611349,11.5,7845.0
