game,reborn_mean,ci95_low,ci95_high,prior_constrained_full,difference,ratio,anchors,mu_offdiag_cka
boxing,47.9,42.85,53.35,80.05,-32.15,0.5983760149906309,1680,0.8806193634904831
up_n_down,20369.0,16815.0,24006.024999999998,13565.0,6804.0,1.5015849612974568,1680,0.8281060521636633
frostbite,259.5,251.5,268.0,2038.0,-1778.5,0.1273307163886163,654,0.7841878395569729
road_runner,11760.0,9639.875,13590.0,15790.0,-4030.0,0.7447751741608613,1336,0.760160572501712
