role,arm,game,seed,agent_steps,mean_return,episode_sd,episodes,hns,random_reference,human_reference
comparator,all1,boxing,0,100000,84.96,7.125030568780783,100,7.071666666666666,0.1,12.1
comparator,all1,up_n_down,0,100000,20576.1,18529.421861875602,100,1.795973046111937,533.4,11693.2
comparator,all1,frostbite,0,100000,1670.6,359.78899540163985,100,0.3760159269235273,65.2,4334.7
comparator,all1,road_runner,0,100000,14847.0,1307.3571923092893,100,1.893853322269739,11.5,7845.0
ablation,level1_short,boxing,0,100000,87.62,7.757407668633494,100,7.293333333333334,0.1,12.1
ablation,level1_short,up_n_down,0,100000,53135.1,34297.38590312502,100,4.713498449793006,533.4,11693.2
ablation,level1_short,frostbite,0,100000,273.9,15.498126312297213,100,0.04888160206113128,65.2,4334.7
ablation,level1_short,road_runner,0,100000,13292.0,1557.3014733146176,100,1.6953469075126062,11.5,7845.0
