level,prefix_dim,horizon,E_h,E_prefix,E_backbone,E_total
1,128,1,0.3932846942828738,0.1371436913808187,0.312711165639674,0.25953632153099687
1,128,2,0.34173493699500457,0.12341491381327312,0.28545319836018734,0.29593408882544736
1,128,4,0.3249522415171796,0.11809682846069336,0.27915215795311116,0.3024310707249924
1,128,8,0.3452892250520591,0.12868253389994302,0.2779607617256943,0.2941671762614912
1,128,16,0.31068016246548497,0.1235364278157552,0.2804517474211252,0.27399473743052266
1,128,32,0.31844276434599583,0.11852622032165527,0.2907824375176915,0.2863176787878577
1,128,64,0.34802996017985005,0.12228469053904216,0.3037667025830615,0.26321771148157797
2,256,1,0.7498714764810692,0.12224034468332927,0.312711165639674,0.26764524294310377
2,256,2,0.7093800025793427,0.11363828182220459,0.28545319836018734,0.30352858565693924
2,256,4,0.7020804296381599,0.1178741455078125,0.27915215795311116,0.3122604273220304
2,256,8,0.6648523211608236,0.12491567929585774,0.2779607617256943,0.28908198346611397
2,256,16,0.6712502545489087,0.12153506278991699,0.2804517474211252,0.2902138505496244
2,256,32,0.6826676304722014,0.11676065127054851,0.2907824375176915,0.29706051644317694
2,256,64,0.7460665283764228,0.1251771847407023,0.3037667025830615,0.2792981185629439
3,512,1,1.0665526786936361,0.12486294905344646,0.312711165639674,0.27103620063905964
3,512,2,1.0227500983721085,0.1176979939142863,0.28545319836018734,0.2825954018325092
3,512,4,1.0433731022453927,0.11440555254618327,0.27915215795311116,0.2816690860359283
3,512,8,1.005016340360261,0.1232007344563802,0.2779607617256943,0.2811229436327949
3,512,16,1.0130422861811212,0.1263899803161621,0.2804517474211252,0.27537781914691095
3,512,32,1.0114942581312563,0.1092077096303304,0.2907824375176915,0.29239421145371125
3,512,64,1.1077025874106312,0.13543224334716797,0.3037667025830615,0.27121027276727244
4,1024,1,1.3858204472468905,0.12402911980946858,0.312711165639674,0.2780336758771303
4,1024,2,1.3854345377892572,0.12334338823954265,0.28545319836018734,0.27895462523539055
4,1024,4,1.4135131962178336,0.11808228492736816,0.27915215795311116,0.29548499818235996
4,1024,8,1.3576291515097083,0.12299426396687825,0.2779607617256943,0.2682529729610981
4,1024,16,1.3404274163390482,0.13026376565297446,0.2804517474211252,0.2725829366581441
4,1024,32,1.3355845803954935,0.11450505256652832,0.2907824375176915,0.286208327584139
4,1024,64,1.4911859482308045,0.12489211559295654,0.3037667025830615,0.2848896142337101
5,2048,1,1.701400752552302,0.12891805171966553,0.312711165639674,0.27708931072406057
5,2048,2,1.650249231435879,0.1168971061706543,0.28545319836018734,0.28395729347679816
5,2048,4,1.7421248731890286,0.11784279346466064,0.27915215795311116,0.30267301068810565
5,2048,8,1.695869239655248,0.12935729821523032,0.2779607617256943,0.26871937206931307
5,2048,16,1.6667028176934082,0.1271208922068278,0.2804517474211252,0.2757711085332251
5,2048,32,1.6817340425193605,0.11636940638224284,0.2907824375176915,0.28206795724061823
5,2048,64,1.8196746655157312,0.12315690517425537,0.3037667025830615,0.2847470351018728
