method,game,seed,agent_steps,return
Constraint suite (seed 0; training episodes),alien,0,59246,420.0
Constraint suite (seed 0; training episodes),alien,0,59918,410.0
Constraint suite (seed 0; training episodes),alien,0,60317,400.0
Constraint suite (seed 0; training episodes),alien,0,60662,260.0
Constraint suite (seed 0; training episodes),alien,0,61140,360.0
Constraint suite (seed 0; training episodes),alien,0,61554,260.0
Constraint suite (seed 0; training episodes),alien,0,62088,330.0
Constraint suite (seed 0; training episodes),alien,0,62780,310.0
Constraint suite (seed 0; training episodes),alien,0,63354,410.0
Constraint suite (seed 0; training episodes),alien,0,64006,480.0
Constraint suite (seed 0; training episodes),alien,0,64643,460.0
Constraint suite (seed 0; training episodes),alien,0,65261,210.0
Constraint suite (seed 0; training episodes),alien,0,65975,950.0
Constraint suite (seed 0; training episodes),alien,0,66620,440.0
Constraint suite (seed 0; training episodes),alien,0,67139,380.0
Constraint suite (seed 0; training episodes),alien,0,67776,570.0
Constraint suite (seed 0; training episodes),alien,0,68305,330.0
Constraint suite (seed 0; training episodes),alien,0,68872,380.0
Constraint suite (seed 0; training episodes),alien,0,69468,260.0
Constraint suite (seed 0; training episodes),alien,0,69969,410.0
Constraint suite (seed 0; training episodes),alien,0,70491,520.0
Constraint suite (seed 0; training episodes),alien,0,71116,470.0
Constraint suite (seed 0; training episodes),alien,0,71610,410.0
Constraint suite (seed 0; training episodes),alien,0,72376,2070.0
Constraint suite (seed 0; training episodes),alien,0,72931,400.0
Constraint suite (seed 0; training episodes),alien,0,73554,500.0
Constraint suite (seed 0; training episodes),alien,0,74176,400.0
Constraint suite (seed 0; training episodes),alien,0,74741,1530.0
Constraint suite (seed 0; training episodes),alien,0,75195,440.0
Constraint suite (seed 0; training episodes),alien,0,75676,250.0
Constraint suite (seed 0; training episodes),alien,0,76088,200.0
Constraint suite (seed 0; training episodes),alien,0,76929,480.0
Constraint suite (seed 0; training episodes),alien,0,77342,900.0
Constraint suite (seed 0; training episodes),alien,0,77810,390.0
Constraint suite (seed 0; training episodes),alien,0,78228,470.0
Constraint suite (seed 0; training episodes),alien,0,78830,540.0
Constraint suite (seed 0; training episodes),alien,0,79304,340.0
Constraint suite (seed 0; training episodes),alien,0,79806,430.0
Constraint suite (seed 0; training episodes),alien,0,80466,450.0
Constraint suite (seed 0; training episodes),alien,0,81163,370.0
Constraint suite (seed 0; training episodes),alien,0,81830,550.0
Constraint suite (seed 0; training episodes),alien,0,82440,370.0
Constraint suite (seed 0; training episodes),alien,0,83140,1050.0
Constraint suite (seed 0; training episodes),alien,0,83927,690.0
Constraint suite (seed 0; training episodes),alien,0,84829,640.0
Constraint suite (seed 0; training episodes),alien,0,85822,610.0
Constraint suite (seed 0; training episodes),alien,0,86543,380.0
Constraint suite (seed 0; training episodes),alien,0,86936,360.0
Constraint suite (seed 0; training episodes),alien,0,87505,450.0
Constraint suite (seed 0; training episodes),alien,0,87950,380.0
Constraint suite (seed 0; training episodes),alien,0,88749,490.0
Constraint suite (seed 0; training episodes),alien,0,89471,510.0
Constraint suite (seed 0; training episodes),alien,0,90368,660.0
Constraint suite (seed 0; training episodes),alien,0,91108,1030.0
Constraint suite (seed 0; training episodes),alien,0,92122,630.0
Constraint suite (seed 0; training episodes),alien,0,92944,510.0
Constraint suite (seed 0; training episodes),alien,0,93600,550.0
Constraint suite (seed 0; training episodes),alien,0,94501,960.0
Constraint suite (seed 0; training episodes),alien,0,95310,630.0
Constraint suite (seed 0; training episodes),alien,0,95933,490.0
Constraint suite (seed 0; training episodes),alien,0,96722,1030.0
Constraint suite (seed 0; training episodes),alien,0,97173,420.0
Constraint suite (seed 0; training episodes),alien,0,98047,1080.0
Constraint suite (seed 0; training episodes),alien,0,98828,1060.0
