role,arm,game,seed,agent_steps,mean_return,episode_sd,episodes,hns,random_reference,human_reference
comparator,full,boxing,0,100000,74.58,11.31386920393003,100,6.206666666666667,0.1,12.1
comparator,full,up_n_down,0,100000,22944.9,18450.832643607828,100,2.0082349146042042,533.4,11693.2
comparator,full,frostbite,0,100000,2779.5,366.57677961586074,100,0.6357418901510716,65.2,4334.7
comparator,full,road_runner,0,100000,15017.0,1061.260447474482,100,1.9155549881917406,11.5,7845.0
ablation,warmup_80000,boxing,0,100000,86.72,7.05115507408452,100,7.218333333333334,0.1,12.1
ablation,warmup_80000,up_n_down,0,100000,4295.4,1269.2122905108658,100,0.33710281546264265,533.4,11693.2
ablation,warmup_80000,frostbite,0,100000,1657.2,624.7764529506663,100,0.3728773861107858,65.2,4334.7
ablation,warmup_80000,road_runner,0,100000,15218.0,2068.5905024114045,100,1.9412140167230485,11.5,7845.0
