seed,step,actions_est,train/ent/action,train/rand/action,train/loss/value,train/loss/rew,train/loss/image,train/opt/grad_norm,train/harmony/observation/weight,train/harmony/task/weight,train/harmony/effective_beta_observation,train/reborn/imag_return_raw_mean,train/reborn/l1/prefix_rate_nats,train/reborn/l5/prefix_rate_nats,train/reborn/l1/mu_variance,train/reborn/l5/mu_variance,train/reborn/l1/mu_dead_fraction,train/reborn/l5/mu_dead_fraction,train/reborn/l1/q_td_mae,train/reborn/l1/q_td_mae_nonzero_reward,train/reborn/l1/q_target_abs,train/reborn/l1/sf_td_mse,train/reborn/l1/sf_zero_mse,train/reborn/l5/prefix_image_mse,train/reborn/valid_transition_count,train/reborn/nonzero_reward_transition_count,train/reborn/terminal_transition_count,train/rew,train/ret,train/val,train/tar,train/adv_std,sf_relative,nonzero_fraction,terminal_fraction
0,16660,4156.5802861685215,1.7905314687944667,0.9993146180486493,5.737623421128921,2.5131756255429805,188.7812503695643,1892.8430417362208,1.0066118466683576,0.9957323173552712,9.93485942939413e-06,3.4118630121923736,126.42630788587005,1036.8445703397338,0.03516604939853513,0.02072470466653551,0.0,0.0,0.5759353622193454,17.876097080146383,0.8553874110330686,0.0010684833003381227,0.004788083321643782,0.12667476539276007,1006.1287386215864,27.671001300390117,1.8569570871261378,0.26123395171917607,0.8335207503979473,1.8314761370277521,3.4118630121923736,0.31411988957295334,0.223154700651973,0.02750244599741765,0.0018456456076090231
0,29764,7427.233671988389,1.7130786000008402,0.9560873496808994,3.0775806336175826,0.17034443266808041,21.748858869876326,147.3219237740951,1.0548719911493807,1.0027786608289595,9.482602838968963e-06,37.88233138702728,145.2732188186366,828.0208717877175,0.11809668442068373,0.09564520830745663,0.0,0.0,1.4751508914216243,35.27524840060317,4.223345774579543,0.0002623852933771932,0.026753581867022248,0.00601387791726761,1006.1318681318681,31.926739926739927,1.8754578754578755,1.003331514578017,1.415474529376979,32.598176126515035,37.88233138702728,0.3362002764647697,0.009807482776750052,0.031732162490807285,0.0018640279021676605
0,42788,10678.514472455649,1.2551607047310624,0.7005185120228761,1.9197313526338675,0.1742533073653021,16.10387560073515,82.7493424099259,1.1132039880283928,1.0646470717774563,8.984881016962528e-06,146.2331894070862,98.23508123449378,628.649846332372,0.2215478403782083,0.2337204369668293,0.0,0.0,2.498142092175214,47.34022055679809,10.40300920378664,0.00020132959088336628,0.04161768597699427,0.004740508090182956,1006.1781326781327,35.342751842751845,1.8243243243243243,1.9122148775644325,0.9145280325588488,136.37768753389176,146.2331894070862,0.22473025911416702,0.004837596953243838,0.035125740358400014,0.0018131226122640347
0,55892,13950.604844814534,0.5024180009469881,0.28040481916422955,1.478458060449733,0.17567160071507187,13.319929275466118,67.96110200241517,1.1662426703724378,1.1295594803725115,8.575960132680743e-06,301.74012972467256,78.10166999155494,562.3751733800867,0.2940482046541568,0.28064065118194065,0.0,0.0,3.0882583537817876,43.589039559620495,20.88059587210817,0.0002607358176972187,0.055665641918469115,0.003993545910195699,1006.3431013431014,37.804639804639805,1.6581196581196582,2.4500705048132585,0.6670609338161273,289.68209483015085,301.74012972467256,0.17033822272286747,0.00468396319006087,0.03756635262286231,0.001647668330916834
0,68916,17201.521352313168,0.6189586295030041,0.3454473805808318,1.344366264797253,0.1780989645758337,11.767307321328204,71.77521843172116,1.2173887243727795,1.1840056528037537,8.215484321510338e-06,381.79931741850385,80.1881961681919,569.8304828390735,0.5107175193049691,0.3359737096386401,0.0,0.0,3.0795759558677673,41.773710377972016,22.56215831747219,0.00022543903546212173,0.06522194241660965,0.0034779506233230196,1006.3980343980344,39.48525798525799,1.6044226044226044,2.582853996636534,0.5405481049484351,373.53650577179627,381.79931741850385,0.1472607268528505,0.003456490670304088,0.03923423599378913,0.0015942227126688217
0,82036,20475.768221574344,0.715702718787077,0.39944128459546624,1.3895407515328104,0.17657093680123004,12.366271292291037,70.64901274704351,1.2680471290902393,1.2345565445539428,7.88719882133059e-06,496.0988995807927,90.26139661277213,635.1589582489758,0.7337129940346974,0.39821412897691494,0.0,0.0,4.037949595073374,50.31903134031994,24.738867450341946,0.00031504830309664035,0.06852642819285393,0.0038214397528663095,1006.3707317073171,39.640243902439025,1.6207317073170733,3.456867297538897,0.5463509529124855,484.7776742702577,496.0988995807927,0.13388866995711152,0.004597471536237084,0.03938930520682869,0.0016104718234079475
0,95124,23742.260655737704,0.4108931652126802,0.22932383660363684,1.2976080977829278,0.17711827372061886,11.983066738380488,64.98170217266876,1.319018023958416,1.277746647960691,7.5823479347026475e-06,621.9645400665208,105.57604364894131,683.7273752823436,0.9556473597774878,0.4250531356535797,0.0,0.0,5.134091607224388,55.70243462023933,27.92962377636823,0.00038254805358097155,0.06981111221325136,0.0037807579460260084,1006.4339853300734,40.118581907090466,1.5623471882640587,3.6312911689718663,0.543523951526959,611.3547725910662,621.9645400665208,0.11210489783135487,0.005479758758353621,0.03986210967819518,0.001552359331100754
0,108160,26995.59706959707,0.33059089107016115,0.18450628511744774,1.277776002591373,0.17585930259315513,11.756854881099397,69.68665654703152,1.3704580622948022,1.3090313417048542,7.29769782289617e-06,711.796616368206,112.34536247019388,679.6593090970092,1.1045183227837452,0.42405963203658353,0.0,0.0,6.306522823111411,62.41181240432833,32.253110873918594,0.00034978409462745524,0.06980753314275683,0.00374135871252125,1006.3447852760736,40.461349693251535,1.6552147239263804,3.787693319583963,0.555467041440171,702.9046534251581,711.796616368206,0.10329893273444264,0.005010692669975097,0.04020624967232443,0.0016447789546326316
0,121280,30270.067183462532,0.34393136941078234,0.19195174782923083,1.3440222918987275,0.1761307798144294,11.476291628581722,61.62966506539321,1.4228874421701199,1.3290193636242937,7.0287793544305644e-06,747.95658666099,128.7860738056462,713.3746628179783,1.284538065587602,0.4506263204464098,0.0,0.0,7.355256383593489,65.86814953175987,38.2402842824052,0.0003067610160342599,0.06961176319093239,0.003665585130191885,1006.3463414634147,41.047560975609755,1.6634146341463414,3.8883988277214327,0.5491454784099649,740.7267447122714,747.95658666099,0.08646115141398296,0.00440674107324175,0.04078870194521597,0.0016529246101570035
0,134292,33518.626524390245,0.3497855146066142,0.19521900795189365,1.3246553933928373,0.17863505468377328,11.64751300600622,64.42338967176674,1.4763961674102557,1.3440815531459682,6.774002296995533e-06,795.6937818163582,143.35349438844426,769.677756446754,1.4637938872767844,0.48250890269344,0.0,0.0,8.178886746128546,69.40134988646372,41.62488811628992,0.0002926195171795703,0.07038023336567122,0.0036227613063769698,1006.4108241082411,41.849938499385,1.6027060270602707,4.153614984960427,0.5531316275672866,787.8210616633754,795.6937818163582,0.07921011000413443,0.004157694613759251,0.041583354925129434,0.0015924968101176714
