seed,window,step,actions_est,train/ent/action,train/rand/action,train/loss/value,train/loss/rew,train/loss/image,train/opt/grad_norm,train/harmony/observation/weight,train/harmony/task/weight,train/harmony/effective_beta_observation,train/reborn/imag_return_raw_mean,train/reborn/l1/prefix_rate_nats,train/reborn/l5/prefix_rate_nats,train/reborn/l1/mu_variance,train/reborn/l5/mu_variance,train/reborn/l1/mu_dead_fraction,train/reborn/l5/mu_dead_fraction,train/reborn/l1/q_td_mae,train/reborn/l1/q_td_mae_nonzero_reward,train/reborn/l1/q_target_abs,train/reborn/l1/sf_td_mse,train/reborn/l1/sf_zero_mse,train/reborn/l5/prefix_image_mse,train/reborn/valid_transition_count,train/reborn/nonzero_reward_transition_count,train/reborn/terminal_transition_count,train/rew,train/ret,train/val,train/tar,train/adv_std,sf_relative,nonzero_fraction,terminal_fraction
0,0-20K,42804.0,10682.890925548052,1.1760294807952723,0.6563545358994972,2.7115519465254714,0.6423087861734537,50.34424428739402,452.53012567087563,1.1116638441182698,1.0753446366275905,9.038757547903341e-06,174.21336618989645,105.64489481974945,725.1441889357967,0.23591525963131063,0.19334094215228043,0.0,0.0,2.1434125310931478,37.170863195028026,11.784899315795922,0.00040367460755160454,0.038809387100147814,0.028980129586745874,1006.2359750345446,34.44607817195593,1.76385630989012,1.6419409690622835,0.8742264702196675,166.80518807987633,174.21336618989645,0.23852987494552158,0.049188046848466366,0.034232187492655275,0.0017529374331252748
0,20-40K,114696.0,28627.24453691348,0.4141578033506892,0.23114586593817518,1.332632293735439,0.1772140683521405,11.733289102639409,64.74156390114838,1.3979593803348374,1.3077750001899335,7.183771430396951e-06,698.9307085040565,122.09138363058979,714.1384245973959,1.189020790741273,0.44707607158740553,0.0,0.0,6.623098795898223,62.58997286175728,35.10567539865968,0.00032117995321354417,0.06991197077482732,0.003689039136666898,1006.3779175539239,40.875113317314025,1.6235189646838812,3.850391322959515,0.5499746742616892,690.2364091660934,698.9307085040565,0.0980381163936791,0.004596997041479281,0.04061606984930855,0.0016132310100031271
0,40-60K,199582.85714285713,49823.2594262226,0.3585279008596637,0.20009822685784226,1.2852038035010616,0.18963708835442825,9.689247154395288,50.96740454358045,1.7696683094844687,1.3479902660184615,5.67951463960836e-06,1063.918102596833,165.7393340989523,869.4137983149021,1.8320263855125372,0.5584345165983099,0.0,0.0,9.627342664212467,72.08990510308634,49.92780736910093,0.00025626306602373814,0.0722220891352567,0.002710200058701611,1006.5375062973329,45.538373292133535,1.4629886550020572,4.415290011511112,0.5505297525925219,1053.2503465194764,1063.918102596833,0.07172899648739861,0.0035479012375653424,0.04524246975353644,0.0014534947385079328
0,60-80K,284389.3333333333,71015.70310699994,0.3211105695697593,0.1792152170717024,1.1975020372685874,0.21222764565306237,8.366647344607333,46.062255644123915,2.2170375997603613,1.2934551077692316,4.52660936554893e-06,1983.005310181529,187.00225737875226,1051.401046162032,2.100967734387197,0.6452795291807639,0.0,0.0,11.163604454756685,78.31475761801606,57.05735152698312,0.00018393282056432999,0.07161633878550237,0.0019087673584595249,1006.8185871322602,52.4458152725434,1.1820632127501831,5.406933051168881,0.5843264429775464,1963.6054800746952,1983.005310181529,0.06411898857218298,0.002566949172344304,0.05209049518090699,0.0011740641056917744
0,80-100K,356336.0,89001.32988823458,0.3205947414996745,0.17892732820973004,1.1292012826414357,0.22727921653560096,7.507337064676871,41.950424656452746,2.669100127447112,1.2530756882609138,3.754925767784356e-06,2792.5848370112385,187.56054452613125,1123.6037320368137,2.1777391845006786,0.6771092297498129,0.0,0.0,13.72945939725481,83.8567727249999,80.92102683725034,0.0001400443105407084,0.06986033445367945,0.0015280405824035477,1007.0559886856311,58.34659167260547,0.9386637696139332,6.45999590769428,0.6229907690682581,2774.6481864789575,2792.5848370112385,0.06706271488522678,0.0020041507305839533,0.05793770160338109,0.0009320910905480371
1,0-20K,42704.0,10655.106168032047,1.2144080091997265,0.6777739987652739,2.5345263056121503,0.6219229259826717,50.43159538997274,464.310103212413,1.111365504542325,1.0747495180357662,9.040702547118159e-06,120.15718925643576,99.31849408554952,629.7290194816306,0.20499225708869914,0.15041427076910632,0.0,0.0,1.8131233569129672,34.39926198047416,8.944843188327082,0.0004168029814097144,0.03987119620250018,0.029610123145129053,1006.1138934643977,31.21097706865808,1.8846451727405125,1.1536933847733835,0.9374108190260058,115.65409593976847,120.15718925643576,0.2580735926778141,0.04989663664191514,0.031021356299283005,0.0018732007169676222
1,20-40K,120767.42857142857,30139.995127517348,0.38893081591409506,0.2170664165485167,1.3286303391596357,0.1582328572126515,9.776794289443785,57.48850322403872,1.4231474090744716,1.338525022713411,7.066769433771461e-06,467.03893595756455,119.27798455415746,724.9283584642966,1.1399840488951198,0.4791262294413485,0.0,0.0,3.8848625552640237,42.18966459499064,21.670704887256992,0.000300999428507971,0.06707902117205747,0.003220258333402419,1006.2475303642368,35.84415861055181,1.7556364486430969,2.066674742774337,0.5293744321805629,460.5222512374048,467.03893595756455,0.11536428852402758,0.0045096508476824325,0.03562122314584526,0.0017447577975816847
1,40-60K,196677.33333333334,49092.95141891279,0.3221411552566309,0.1797903980441963,1.256412071462394,0.17248327257291152,8.83761698276872,50.80913501682982,1.7378763350235158,1.3953782483935033,5.767583210412635e-06,726.8391966698327,162.57285450421912,899.804306799496,1.8188699975670053,0.5858236791092337,0.0,0.0,5.522713330791255,46.23842764879975,29.35940840259346,0.0002607433012659279,0.07191213603258509,0.002709677378046916,1006.3789772309301,40.367326870372665,1.6203178463829555,2.5030852380513884,0.5835967116597786,720.5522150952434,726.8391966698327,0.08433110345789596,0.0036256055245824695,0.04011144753096818,0.0016100479359615432
1,60-80K,274080.0,68416.50760272949,0.32652884231327417,0.18223921274294524,1.2228972337883037,0.1765513412780282,7.982208329853908,48.4751819692011,2.133329802448338,1.3890745502720248,4.708575893330455e-06,988.9776171127282,200.11208622184785,1106.4931445218576,2.35830326166307,0.698474224200281,0.0,0.0,7.213203710731724,54.77668811887725,37.212057686616276,0.00025332295190315683,0.07487325620112953,0.002215917677299397,1006.4798715338891,42.35066034103959,1.522715175571137,2.864522822318972,0.5631904150423959,981.7680493934438,988.9776171127282,0.07455396151136967,0.003383888898423251,0.04207800834623357,0.001512911984667388
1,80-100K,364991.2,91116.55217859139,0.32402521958697716,0.18084191418404635,1.2531379735063457,0.18115321309957075,7.432939546204205,45.877539425152236,2.712192671792681,1.382284282279116,3.702923776406915e-06,1274.7928964788155,231.70186702590559,1266.8078791014043,2.8953712816559647,0.8103010963902804,0.0,0.0,8.94681779183322,62.7884761492683,47.353303212047784,0.0002308576463979198,0.07710074233680299,0.0018636488239817059,1006.5456861967389,45.070823459299845,1.4523635793894698,3.701832427722085,0.5578517329435404,1266.1486738596675,1274.7928964788155,0.06386774004318743,0.0029948041021883,0.044777710198440214,0.0014429193160718304
