role,arm,game,seed,agent_steps,mean_return,episode_sd,episodes,hns,random_reference,human_reference
comparator,full,boxing,0,100000,74.58,11.31386920393003,100,6.206666666666667,0.1,12.1
comparator,full,up_n_down,0,100000,22944.9,18450.832643607828,100,2.0082349146042042,533.4,11693.2
comparator,full,frostbite,0,100000,2779.5,366.57677961586074,100,0.6357418901510716,65.2,4334.7
comparator,full,road_runner,0,100000,15017.0,1061.260447474482,100,1.9155549881917406,11.5,7845.0
ablation,reverse,boxing,0,100000,70.8,11.686130949362862,100,5.891666666666667,0.1,12.1
ablation,reverse,up_n_down,0,100000,9914.6,11718.226795566095,100,0.8406243839495331,533.4,11693.2
ablation,reverse,frostbite,0,100000,2624.0,541.550337158761,100,0.5993207635554515,65.2,4334.7
ablation,reverse,road_runner,0,100000,14177.0,1437.4398538141807,100,1.8083232271653795,11.5,7845.0
